 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
3.896958, 0.2034625, 0.09933437, 0.4092213, 0.2010523, 0.1320469, 0.4643598, 0.193668, 0.06724286, 0.2616549, 0.03647685, 0.006656649, 0.008004397, 0.003752098, 0.002086189, 0.01385952
3.946919, 0.1945988, 0.09448756, 0.4225067, 0.1895628, 0.1308164, 0.4610902, 0.1893499, 0.06393714, 0.2532202, 0.03429147, 0.006369325, 0.00767468, 0.003589512, 0.001955464, 0.01443652
3.99688, 0.1951091, 0.09181888, 0.411567, 0.1893424, 0.1230929, 0.4486223, 0.1914209, 0.06079393, 0.2720988, 0.03223702, 0.006094404, 0.007358545, 0.00495448, 0.001832931, 0.01524923
4.046841, 0.2023398, 0.08733876, 0.4308218, 0.1811546, 0.1335693, 0.4646614, 0.208747, 0.05780524, 0.2640874, 0.03412341, 0.005831349, 0.007055432, 0.005277938, 0.001718077, 0.01460591
4.096802, 0.2105063, 0.08307725, 0.43179, 0.1917787, 0.1352966, 0.4778969, 0.2099554, 0.05496348, 0.2798881, 0.05981848, 0.005579648, 0.01315603, 0.005624931, 0.001610419, 0.01612427
4.146763, 0.2114201, 0.07902367, 0.4263385, 0.1905158, 0.1273086, 0.4720767, 0.2099248, 0.05226142, 0.2792005, 0.05623467, 0.005338812, 0.01261411, 0.005381192, 0.001509507, 0.01544404
4.196724, 0.2193742, 0.08420537, 0.419513, 0.1873171, 0.1197921, 0.4735989, 0.2138571, 0.0496922, 0.2754425, 0.05286556, 0.00510837, 0.0154908, 0.005148014, 0.001414918, 0.01479251
4.246685, 0.212169, 0.08009674, 0.4084062, 0.1766125, 0.1127195, 0.4742487, 0.2131882, 0.06048934, 0.280064, 0.0496983, 0.004887876, 0.0148527, 0.004924941, 0.005856209, 0.01831019
4.296646, 0.2034182, 0.07922409, 0.388701, 0.1665197, 0.1060644, 0.467064, 0.2077229, 0.05751562, 0.2708967, 0.04672081, 0.004676899, 0.01732946, 0.004711534, 0.006229115, 0.01753774
4.346607, 0.1920608, 0.07710414, 0.3699466, 0.1570036, 0.09980226, 0.4514741, 0.1982503, 0.0546881, 0.2590848, 0.04392169, 0.004475028, 0.01661562, 0.004507374, 0.005838787, 0.01679788
