Time,Centre position X,Centre position Y,A active,S active
272.653,361,301,0,0
272.753,360,299,0,0
272.853,357,298,0,0
272.953,349,299,0,0
273.053,348,299,0,0
273.153,344,301,0,0
273.253,353,302,0,0
273.353,354,305,0,0
273.453,356,304,0,0
273.553,355,305,0,0
273.653,353,304,0,0
273.753,351,303,0,0
273.853,347,302,0,0
273.953,349,302,0,0
274.053,349,302,0,0
274.153,353,300,0,0
274.253,352,302,0,0
274.353,342,303,0,0
274.453,326,306,0,0
274.553,311,306,0,0
274.653,311,304,0,0
277.486,246,318,0,0
277.586,246,316,0,0
278.020,245,285,0,0
278.153,241,279,0,0
278.519,522,321,0,0
283.019,128,256,0,0
283.320,93,287,0,0
285.153,83,300,0,0
285.286,81,314,0,0
285.519,78,313,0,0
285.619,79,311,0,0
285.719,83,310,0,0
285.819,86,315,0,0
285.919,86,315,0,0
286.019,89,321,0,0
286.119,93,325,0,0
286.220,95,323,0,0
286.353,96,316,0,0
286.453,93,315,0,0
286.719,99,335,0,0
286.853,98,336,0,0
286.953,106,332,0,0
287.053,108,327,0,0
287.153,113,331,0,0
287.253,110,331,0,0
287.653,89,332,0,0
287.753,88,329,0,0
287.919,85,323,0,0
288.053,95,315,0,0
288.153,102,318,0,0
288.253,99,324,0,0
294.019,106,133,0,0
295.086,93,147,0,0
295.286,119,155,0,0
295.553,122,163,0,0
295.653,125,165,0,0
295.753,130,170,0,0
295.853,132,175,0,0
295.953,127,177,0,0
296.053,119,173,0,0
296.153,117,169,0,0
296.253,118,169,0,0
296.353,118,170,0,0
296.453,118,169,0,0
297.186,116,162,0,0
297.286,113,150,0,0
297.420,115,143,0,0
297.553,115,141,0,0
297.786,115,142,0,0
297.886,121,151,0,0
297.986,118,153,0,0
298.086,110,156,0,0
301.253,293,142,0,0
301.353,290,139,0,0
301.453,283,132,0,0
301.620,296,134,0,0
301.670,296,134,0,1
301.753,314,139,0,1
301.941,314,139,0,0
303.486,344,245,0,0
303.953,335,334,0,0
304.786,466,293,0,0
304.886,476,285,0,0
305.286,501,291,0,0
305.386,501,303,0,0
305.486,500,295,0,0
305.586,492,282,0,0
305.686,485,276,0,0
305.786,483,273,0,0
305.886,485,265,0,0
306.086,486,225,0,0
306.186,493,210,0,0
306.197,493,210,0,1
306.286,493,207,0,1
306.309,493,207,0,0
306.386,501,208,0,0
306.486,509,201,0,0
306.586,507,186,0,0
310.453,84,305,0,0
311.386,190,322,0,0
311.719,191,321,0,0
312.886,395,307,0,0
312.986,371,310,0,0
313.086,372,308,0,0
313.186,363,312,0,0
313.286,362,313,0,0
313.382,362,313,0,1
313.386,361,314,0,1
313.486,359,317,0,1
313.586,359,315,0,1
313.686,360,313,0,1
313.786,382,315,0,1
313.814,382,315,0,0
313.886,398,313,0,0
314.653,318,337,0,0
315.520,374,265,0,0
315.620,374,269,0,0
315.720,372,255,0,0
317.386,304,320,0,0
318.453,274,282,0,0
318.553,272,278,0,0
