 , C0, C1, C2, C3, C4, C5, C6,,segment,Time (s),Frame,A (time),A (frame)
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,0,0,0,0.99922,20
7.144423,0.2011603,0.02674944,0.002238228,0.1909047,0,0.01392873,0.02156139,,,,,,
7.194384,0.1940739,0.02558084,0.002138001,0.1878231,0,0.01309926,0.01953729,,,,,,
7.244345,0.1854831,0.02446329,0.002042263,0.2001629,0,0.01231918,0.01770321,,,,,,
7.294306,0.1772726,0.02339457,0.001950812,0.1933012,0,0.01158556,0.02106938,,,,,,
7.344267,0.1868257,0.02777371,0.001863456,0.1978192,0,0.01112341,0.0223716,,,,,,
7.394228,0.1785558,0.02656036,0.001780011,0.1957398,0,0.01343577,0.02484874,,,,,,
7.444189,0.1797055,0.02540002,0.001700303,0.1884578,0,0.01263565,0.02573156,,,,,,
7.49415,0.1726823,0.02429037,0.001624165,0.1838772,0,0.01188318,0.02331598,,,,,,
7.544111,0.1735785,0.02983087,0.001551436,0.1870312,0,0.01117552,0.0249651,,,,,,
7.594072,0.165895,0.02852766,0.008466705,0.1968947,0,0.01051001,0.02262148,,,,,,
7.644033,0.1647629,0.02728137,0.008087572,0.1881265,0,0.009884122,0.02183546,,,,,,
7.693994,0.1642213,0.02608953,0.007725415,0.196665,0,0.009295509,0.01978564,,,,,,
7.743955,0.1597132,0.02494976,0.007379476,0.2012132,0,0.00874195,0.02302343,,,,,,
7.793916,0.1720737,0.02385979,0.009286609,0.2120672,0,0.008221355,0.02086209,,,,,,
7.843877,0.1847254,0.02281743,0.008870761,0.2091165,0,0.007731763,0.01890364,,,,,,
7.893838,0.2082936,0.0218206,0.008473534,0.2059639,0,0.007271327,0.01712904,,,,,,
7.943799,0.2068171,0.02086733,0.01041532,0.2201903,0,0.00683831,0.01552104,,,,,,
7.99376,0.2026382,0.02448909,0.009948924,0.2265236,0,0.006431079,0.01406399,,,,,,
8.043721,0.1936683,0.02341924,0.01412476,0.2207047,0,0.0060481,0.01274372,,,,,,
8.093682,0.1910398,0.02239613,0.01349226,0.2229454,0,0.005687928,0.01154739,,,,,,
8.143643,0.1903743,0.0266886,0.01566022,0.225597,0,0.005349205,0.01046337,,,,,,
8.193604,0.190046,0.02552266,0.01787239,0.2308344,0,0.005030653,0.009481111,,,,,,
8.243565,0.1816335,0.02440765,0.01987139,0.2205548,0,0.004731071,0.008591062,,,,,,
