Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,,,Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,,Video2-3,C04,C07,,,,C10,C05,C06,C13,C01,C00,C09,C12,C03,C08,C11
3.447309,0.244307,0.1035245,0.2915267,0.1752323,0.07830988,0.3214505,0.1273634,0.04143667,0.1623522,0.000459874,-0.005827439,-0.03655045,-0.038125,-0.01948922,-0.01781298,,,,,,,,,,,,,,,,,,,
3.49727,0.229707,0.1008368,0.3063909,0.1769773,0.09398719,0.3197111,0.1290075,0.04102758,0.1856562,0.003198794,-0.007640716,-0.04234159,-0.03683342,-0.01044773,-0.02005586,,,,,,,,,,,,,,,,,,,
3.547231,0.221462,0.09494121,0.312758,0.1851325,0.1003498,0.3473463,0.1330832,0.0436699,0.1784335,-0.00311951,-0.009924293,-0.04515204,-0.04348271,-0.01687095,-0.02087056,,,,,,,,,,,,,,,,,,,
3.597192,0.220414,0.08765024,0.3273576,0.1916518,0.1075879,0.3573475,0.1384404,0.04778691,0.1833675,-0.002558818,-0.0121747,-0.04809675,-0.04841533,-0.02392635,-0.01816324,,,,,,,,,,,,,,,,,,,
3.647153,0.2232087,0.08807442,0.3372246,0.1924143,0.1035864,0.3583028,0.1344112,0.0428154,0.1901483,0.003564056,-0.01045572,-0.05111922,-0.04384622,-0.01763266,-0.01663527,,,,,,,,,,,,,,,,,,,
3.697114,0.2129724,0.08251654,0.3369554,0.2004761,0.1218458,0.3849233,0.126838,0.05172312,0.1794014,0.001341429,-0.01034489,-0.04350871,-0.03979471,-0.02422812,-0.01696764,,,,,,,,,,,,,,,,,,,
3.747075,0.2120939,0.07985322,0.3410724,0.2074348,0.1252472,0.3785813,0.1356511,0.03221598,0.1841133,-0.001112405,-0.01157858,-0.04819055,-0.04318449,-0.01785639,-0.01577836,,,,,,,,,,,,,,,,,,,
3.797036,0.1870243,0.0795152,0.3337326,0.1986221,0.1137173,0.3776885,0.1264725,0.03444872,0.1736963,-0.004886657,-0.01281244,-0.04535142,-0.04156277,-0.01263278,-0.01575356,,,,,,,,,,,,,,,,,,,
3.846997,0.1807956,0.07112531,0.3320559,0.1822425,0.1050539,0.3734864,0.123623,0.03525423,0.1601244,-0.003717759,-0.01129067,-0.05030764,-0.03271223,-0.01571628,-0.01695,,,,,,,,,,,,,,,,,,,
3.896958,0.1754669,0.06712677,0.3294672,0.1758883,0.09695753,0.3834715,0.1213969,0.02372941,0.1710005,-0.0101226,-0.01211934,-0.04879262,-0.03928544,-0.01838428,-0.01935198,,,,,,,,,,,,,,,,,,,
