 , C0, C1, C2, C3,,segment,starting frame ,time
Time(s)/Cell Status, accepted, accepted, accepted, accepted,,0,0,0
11.890718,0.007631567,0.00798266,0.01859852,0.08632181,,,,
11.940679,0.00731207,0.007635925,0.01775162,0.09471798,,,,
11.99064,0.007005949,0.007304251,0.01694328,0.09943051,,,,
12.040601,0.006712643,0.00741893,0.01617175,0.09475247,,,,
12.090562,0.006431617,0.008810422,0.01543536,0.100024,,,,
12.140523,0.006162357,0.008427733,0.01473249,0.09800635,,,,
12.190484,0.005904368,0.009047983,0.01406164,0.09339531,,,,
12.240445,0.005657181,0.008654975,0.01342133,0.09515014,,,,
12.290406,0.005420342,0.008279038,0.01281018,0.1017442,,,,
12.340367,0.005193419,0.00791943,0.01222685,0.09695729,,,,
12.390328,0.004975995,0.007575442,0.01853609,0.09239561,,,,
12.440289,0.004767674,0.007246395,0.01769203,0.08804855,,,,
12.49025,0.004568075,0.00693164,0.01688641,0.09196442,,,,
12.540211,0.004376831,0.008534037,0.02702181,0.08763764,,,,
12.590172,0.004193595,0.008163352,0.02579135,0.09174687,,,,
12.640133,0.004018029,0.007808769,0.02461692,0.1000398,,,,
12.690094,0.003849813,0.007469587,0.02349596,0.09533308,,,,
12.740055,0.00368864,0.007145138,0.02242605,0.09084782,,,,
12.790016,0.003534215,0.006834782,0.02140486,0.09240859,,,,
12.839977,0.003386255,0.006537906,0.02043017,0.09448747,,,,
12.889938,0.003244489,0.006253926,0.01949987,0.090042,,,,
12.939899,0.003108657,0.00598228,0.01861192,0.08580567,,,,
12.98986,0.002978513,0.005722434,0.01776441,0.08176866,,,,
13.039821,0.002853817,0.005473875,0.01695549,0.0928101,,,,
13.089782,0.002734341,0.005236112,0.01618341,0.09046739,,,,
13.139743,0.002619868,0.0055187,0.01544648,0.08621105,,,,
13.189704,0.002510187,0.00527899,0.02461102,0.08215496,,,,
13.239665,0.002405097,0.005049692,0.02349034,0.0782897,,,,
13.289626,0.002304408,0.004830353,0.02242068,0.08637509,,,,
13.339587,0.002207933,0.005306148,0.02139973,0.08231129,,,,
13.389548,0.002115498,0.005374249,0.02042528,0.08550388,,,,
13.439509,0.002026932,0.007568087,0.01949519,0.09344753,,,,
13.48947,0.001942074,0.0075641,0.01860746,0.09186608,,,,
13.539431,0.001860769,0.00808251,0.01776016,0.08904377,,,,
13.589392,0.001782867,0.0119309,0.01695143,0.08485441,,,,
13.639353,0.001708227,0.01762761,0.01617953,0.0963398,,,,
13.689314,0.001636712,0.01686194,0.01544278,0.1105003,,,,
13.739275,0.001568191,0.0163997,0.01473958,0.1053015,,,,
13.789236,0.001502538,0.01623558,0.0140684,0.1003472,,,,
13.839197,0.001439634,0.01752757,0.01342778,0.09562604,,,,
13.889158,0.001379364,0.01684233,0.01281634,0.09112699,,,,
13.939119,0.001321616,0.01611076,0.01223273,0.08683962,,,,
13.98908,0.001266287,0.01541098,0.0116757,0.08275396,,,,
14.039041,0.001213273,0.01474158,0.01114404,0.07886052,,,,
14.089002,0.00116248,0.01541565,0.01063659,0.07515027,,,,
14.138963,0.001113812,0.01474605,0.01015224,0.07161457,,,,
14.188924,0.001067182,0.01410554,0.009689947,0.06824522,,,,
14.238885,0.001022504,0.01349285,0.009248707,0.0650344,,,,
14.288846,0.000979697,0.01290678,0.008827558,0.06197464,,,,
14.338807,0.000938682,0.01234616,0.008425587,0.05905884,,,,
14.388768,0.000899384,0.01180989,0.008041919,0.05628022,,,,
14.438729,0.000861731,0.01129692,0.007675723,0.05363233,,,,
14.48869,0.000825654,0.01080622,0.007326202,0.05110902,,,,
14.538651,0.000791088,0.01033684,0.006992597,0.04870442,,,,
14.588612,0.000757969,0.009887854,0.01265873,0.04641296,,,,
14.638573,0.000726237,0.009458365,0.0120823,0.04422931,,,,
14.688534,0.000695833,0.009047531,0.01153213,0.04214839,,,,
14.738495,0.000666702,0.008654542,0.011007,0.04016538,,,,
14.788456,0.00063879,0.008278624,0.01961105,0.03827567,,,,
14.838417,0.000612047,0.01148553,0.01871804,0.03647486,,,,
14.888378,0.000586424,0.01439581,0.0178657,0.03475878,,,,
14.938339,0.000561873,0.01377051,0.01705216,0.03312344,,,,
14.9883,0.00053835,0.01317238,0.01627568,0.03156503,,,,
15.038261,0.000515812,0.01260022,0.01553455,0.03007995,,,,
15.088222,0.000494217,0.01205292,0.01482717,0.02866474,,,,
15.138183,0.000473527,0.01152939,0.02287241,0.02731611,,,,
15.188144,0.000453702,0.0110286,0.02183089,0.02603094,,,,
15.238105,0.000434708,0.01054956,0.0208368,0.02480622,,,,
15.288066,0.000416509,0.01183399,0.01988798,0.02363913,,,,
15.338027,0.000399072,0.01131997,0.01898236,0.02252695,,,,
15.387988,0.000382365,0.01082827,0.01811798,0.0214671,,,,
15.437949,0.000366357,0.01235605,0.01729297,0.0204571,,,,
15.48791,0.000351019,0.01181935,0.01650551,0.01949463,,,,
15.537871,0.000336324,0.01130597,0.01575392,0.01857744,,,,
15.587832,0.000322244,0.01081488,0.01503655,0.01770341,,,,
